Rank,Player,Age,Elo,HardRaw,ClayRaw,GrassRaw,hElo,cElo,gElo
155,Brandon Nakashima,18.3,1600.7,1552.4,0,0,1576.5,1410.3,1500.3
156,Yannick Maden,30,1597.3,1535.7,1587.8,1437.4,1566.5,1592.5,1517.4
157,Mischa Zverev,32.2,1597.1,1530.4,1509.8,1553.5,1563.8,1553.4,1575.3
158,Go Soeda,35.2,1597,1492.2,1359.6,1534.3,1544.6,1478.3,1565.7
159,Marc Polmans,22.5,1590.1,1570.6,1317.8,1312.7,1580.4,1453.9,1451.4
160,Juan Pablo Varillas Patino Samudio,24.1,1589.6,1103.4,1583.3,0,1346.5,1586.4,1494.8
161,Matthias Bachinger,32.5,1589.5,1517,1488.6,1484.3,1553.2,1539,1536.9
162,Andrej Martin,30.2,1587.1,1297.2,1573,1109.7,1442.2,1580,1348.4
163,Pedro Sousa,31.5,1586.2,1150.5,1575.3,1346.7,1368.3,1580.7,1466.4
164,Henri Laaksonen,27.6,1582.4,1473.1,1521.6,1264.5,1527.8,1552,1423.4
165,Noah Rubin,23.5,1582.4,1515.8,1423.2,1430.6,1549.1,1502.8,1506.5
166,Jason Jung,30.4,1581.7,1545.4,1365.8,1381.9,1563.5,1473.8,1481.8
167,Blaz Kavcic,32.7,1581.5,1525.8,1430,1399.1,1553.7,1505.8,1490.3
168,Bernabe Zapata Miralles,22.8,1577.3,1433.3,1500.5,1335.3,1505.3,1538.9,1456.3
169,Santiago Giraldo,32,1575.1,1530.8,1521.4,1394.6,1553,1548.3,1484.9
170,Illya Marchenko,32.2,1574.9,1547.8,1325.6,1347.7,1561.4,1450.3,1461.3
171,Ernesto Escobedo,23.3,1574.7,1515.3,1384.4,1411.1,1545,1479.6,1492.9
172,Ernests Gulbis,31.1,1574.4,1524.9,1555.3,1506.4,1549.6,1564.9,1540.4
173,Frederico Ferreira Silva,24.7,1574.2,1509.5,1410.2,1378.5,1541.9,1492.2,1476.4
